segtype,startsec,endsec
NOF,683.17,687.40
FAN,687.40,689.60
OLN,689.60,692.19
CHNNSP,692.19,693.19
OLN,693.19,694.05
CHNNSP,694.05,695.47
OLN,695.47,697.50
TVF,697.50,698.51
FAN,698.51,699.72
OLN,699.72,701.78
NOF,701.78,702.58
OLN,702.58,703.60
FAN,703.60,704.86
OLN,704.86,705.83
NOF,705.83,706.85
SIL,706.85,707.65
SIL,707.65,709.05
FAN,709.05,710.32
SIL,710.32,711.60
NOF,711.60,712.58
OLN,712.58,713.65
NOF,713.65,714.47
OLN,714.47,715.73
NOF,715.73,716.53
SIL,716.53,717.33
NOF,717.33,718.56
OLN,718.56,719.79
CHNSP,719.79,720.84
OLF,720.84,721.64
NOF,721.64,722.44
OLN,722.44,727.37
NOF,727.37,728.25
OLN,728.25,729.38
NOF,729.38,730.84
OLF,730.84,731.78
NON,731.78,732.63
OLN,732.63,733.57
NOF,733.57,734.37
OLF,734.37,735.24
NOF,735.24,736.73
OLF,736.73,737.53
NOF,737.53,739.81
OLF,739.81,740.68
NOF,740.68,746.47
OLN,746.47,747.31
NOF,747.31,749.73
OLN,749.73,750.54
NOF,750.54,755.86
CHNSP,755.86,756.76
CHNSP,756.76,757.79
OLN,757.79,759.46
CHNSP,759.46,761.90
OLN,761.90,762.70
FAN,762.70,765.10
NOF,765.10,768.95
FAN,768.95,769.95
OLN,769.95,770.75
NOF,770.75,772.62
FAN,772.62,773.68
SIL,773.68,774.48
OLF,774.48,775.28
NOF,775.28,778.39
CHNNSP,778.39,779.41
NOF,779.41,781.25
SIL,781.25,782.83
NOF,782.83,784.78
CHNSP,784.78,785.38
NON,785.38,786.48
CHNSP,786.48,787.49
OLN,787.49,788.66
NOF,788.66,791.20
CXN,791.20,792.64
OLF,792.64,793.44
CHNSP,793.44,794.04
NOF,794.04,795.82
CHNNSP,795.82,799.25
CHNSP,799.25,800.36
CHNSP,800.36,801.86
CHNNSP,801.86,803.63
CHNNSP,803.63,820.99
CHNSP,820.99,822.39
CHNNSP,822.39,823.50
OLN,823.50,824.30
CHNNSP,824.30,825.58
OLN,825.58,826.38
CHNNSP,826.38,827.90
OLN,827.90,830.13
CHNNSP,830.13,831.66
OLN,831.66,832.46
CHNNSP,832.46,833.97
OLN,833.97,834.77
CHNNSP,834.77,836.26
OLN,836.26,837.23
CHNNSP,837.23,840.53
CHNNSP,840.53,841.55
OLN,841.55,842.51
CHNNSP,842.51,844.42
OLN,844.42,845.23
CHNNSP,845.23,845.84
OLN,845.84,846.64
CHNNSP,846.64,848.06
OLN,848.06,848.90
FAN,848.90,849.50
OLN,849.50,850.30
CHNNSP,850.30,850.92
FAN,850.92,852.59
CHNNSP,852.59,853.40
NON,853.40,855.98
OLN,855.98,856.81
CHNSP,856.81,857.81
OLN,857.81,858.63
FAN,858.63,860.14
OLN,860.14,860.94
FAN,860.94,861.60
FAN,861.60,862.61
NOF,862.61,863.50
FAN,863.50,864.68
OLN,864.68,865.69
CHNSP,865.69,866.29
NON,866.29,867.09
OLN,867.09,867.89
CHNSP,867.89,869.11
OLN,869.11,870.28
CHNSP,870.28,871.53
OLF,871.53,872.69
FAN,872.69,874.23
CHNSP,874.23,874.83
OLF,874.83,875.69
CHNSP,875.69,877.06
OLF,877.06,877.88
OLN,877.88,878.73
FAN,878.73,881.20
OLF,881.20,882.00
CHNSP,882.00,883.55
OLF,883.55,884.47
CHNSP,884.47,886.16
NOF,886.16,891.27
FAN,891.27,892.30
NOF,892.30,893.37
OLF,893.37,894.17
NOF,894.17,895.69
CHNSP,895.69,897.20
NOF,897.20,898.00
CHNNSP,898.00,898.60
OLN,898.60,899.40
NOF,899.40,900.21
FAN,900.21,901.21
NOF,901.21,906.97
FAN,906.97,907.82
FAN,907.82,909.09
NON,909.09,909.93
FAN,909.93,911.55
NON,911.55,914.83
CHNSP,914.83,916.24
NOF,916.24,917.04
CHNNSP,917.04,918.18
NOF,918.18,919.16
FAN,919.16,920.24
TVF,920.24,921.67
FAN,921.67,922.92
TVF,922.92,924.58
FAN,924.58,927.03
TVF,927.03,930.12
FAN,930.12,931.75
TVF,931.75,932.82
CHNSP,932.82,933.82
SIL,933.82,935.18
NOF,935.18,937.02
SIL,937.02,937.82
FAN,937.82,943.01
NOF,943.01,943.83
FAN,943.83,944.83
NOF,944.83,946.04
SIL,946.04,946.90
NOF,946.90,948.77
OLF,948.77,949.63
FAF,949.63,950.80
NOF,950.80,951.68
CXF,951.68,952.62
OLF,952.62,954.15
NOF,954.15,955.02
OLF,955.02,956.04
FAN,956.04,959.38
MAN,959.38,960.38
NOF,960.38,961.30
FAN,961.30,962.30
NOF,962.30,963.11
SIL,963.11,963.91
NOF,963.91,964.99
OLN,964.99,968.01
CXN,968.01,969.10
MAN,969.10,970.10
OLF,970.10,971.56
FAN,971.56,973.30
OLN,973.30,974.10
FAN,974.10,975.10
OLF,975.10,977.01
FAN,977.01,979.66
TVF,979.66,980.85
FAF,980.85,982.02
TVF,982.02,982.98
NOF,982.98,983.79
OLF,983.79,985.58
NOF,985.58,986.38
OLN,986.38,987.63
FAN,987.63,989.69
OLF,989.69,993.22
FAF,993.22,994.46
TVN,994.46,996.02
OLF,996.02,996.82
CXN,996.82,997.62
OLF,997.62,998.42
TVN,998.42,999.42
TVF,999.42,1000.22
NOF,1000.22,1001.15
TVF,1001.15,1002.84
MAN,1002.84,1005.16
FAF,1005.16,1006.37
MAF,1006.37,1007.37
OLF,1007.37,1008.28
TVF,1008.28,1010.03
MAF,1010.03,1011.03
NOF,1011.03,1011.97
FAF,1011.97,1016.29
TVN,1016.29,1017.50
FAN,1017.50,1019.40
CXF,1019.40,1020.20
OLN,1020.20,1021.63
FAN,1021.63,1022.86
CXF,1022.86,1023.66
OLF,1023.66,1024.52
MAN,1024.52,1025.57
TVF,1025.57,1026.57
MAF,1026.57,1027.83
TVF,1027.83,1029.41
TVF,1029.41,1030.01
CXN,1030.01,1030.89
TVN,1030.89,1031.89
FAN,1031.89,1032.89
TVN,1032.89,1033.89
MAN,1033.89,1036.00
CXN,1036.00,1036.80
TVN,1036.80,1038.34
OLN,1038.34,1039.57
OLF,1039.57,1041.47
TVN,1041.47,1042.58
TVF,1042.58,1043.96
TVF,1043.96,1045.04
TVF,1045.04,1045.98
TVF,1045.98,1048.16
TVF,1048.16,1049.31
FAF,1049.31,1050.55
OLF,1050.55,1055.86
FAN,1055.86,1057.30
FAF,1057.30,1060.40
TVF,1060.40,1061.01
OLN,1061.01,1061.90
FAF,1061.90,1064.17
OLN,1064.17,1065.20
MAN,1065.20,1068.80
FAN,1068.80,1069.86
MAN,1069.86,1070.87
OLN,1070.87,1071.90
MAN,1071.90,1073.20
FAN,1073.20,1074.56
MAF,1074.56,1075.56
FAN,1075.56,1076.56
MAN,1076.56,1077.60
FAN,1077.60,1078.81
OLN,1078.81,1080.17
TVN,1080.17,1081.17
OLF,1081.17,1083.27
NOF,1083.27,1085.72
TVF,1085.72,1086.96
TVF,1086.96,1087.76
TVF,1087.76,1089.07
NOF,1089.07,1091.20
TVF,1091.20,1092.20
OLF,1092.20,1093.10
SIL,1093.10,1094.25
TVF,1094.25,1097.13
TVF,1097.13,1104.04
TVF,1104.04,1104.88
SIL,1104.88,1105.85
SIL,1105.85,1106.85
NOF,1106.85,1108.09
SIL,1108.09,1109.97
TVF,1109.97,1110.83
SIL,1110.83,1112.71
OLF,1112.71,1113.51
TVN,1113.51,1119.73
TVF,1119.73,1120.80
NOF,1120.80,1121.60
SIL,1121.60,1122.45
TVF,1122.45,1123.45
NOF,1123.45,1127.03
TVF,1127.03,1128.03
TVF,1128.03,1130.96
FAN,1130.96,1132.58
MAN,1132.58,1134.61
CHNNSP,1134.61,1135.21
MAN,1135.21,1136.28
CHNNSP,1136.28,1137.32
OLN,1137.32,1138.25
CHNNSP,1138.25,1138.85
NOF,1138.85,1139.65
CHNNSP,1139.65,1140.57
FAN,1140.57,1141.57
NOF,1141.57,1143.39
OLF,1143.39,1144.26
TVF,1144.26,1145.94
NOF,1145.94,1146.74
TVN,1146.74,1151.84
TVF,1151.84,1153.31
TVN,1153.31,1155.70
NOF,1155.70,1156.76
TVN,1156.76,1157.77
FAF,1157.77,1158.77
SIL,1158.77,1159.75
FAF,1159.75,1160.55
SIL,1160.55,1162.20
OLF,1162.20,1163.27
TVN,1163.27,1164.37
TVF,1164.37,1165.89
TVF,1165.89,1167.05
FAF,1167.05,1168.00
TVF,1168.00,1169.09
TVF,1169.09,1170.09
FAF,1170.09,1171.09
TVN,1171.09,1172.10
MAF,1172.10,1173.14
NOF,1173.14,1173.94
TVF,1173.94,1174.96
TVF,1174.96,1175.98
TVF,1175.98,1177.07
TVN,1177.07,1178.12
TVF,1178.12,1179.28
TVF,1179.28,1181.68
TVN,1181.68,1182.79
NOF,1182.79,1183.61
FAN,1183.61,1184.21
FAF,1184.21,1185.03
MAF,1185.03,1186.03
FAF,1186.03,1187.04
TVN,1187.04,1188.09
SIL,1188.09,1188.89
FAF,1188.89,1190.38
TVN,1190.38,1191.44
FAN,1191.44,1194.77
MAN,1194.77,1196.44
FAF,1196.44,1198.39
MAN,1198.39,1199.55
TVF,1199.55,1203.16
MAN,1203.16,1205.43
TVF,1205.43,1207.57
TVF,1207.57,1208.41
TVF,1208.41,1209.41
TVF,1209.41,1211.94
SIL,1211.94,1213.14
TVF,1213.14,1214.19
TVF,1214.19,1215.19
TVN,1215.19,1215.99
TVF,1215.99,1220.46
SIL,1220.46,1221.26
TVF,1221.26,1222.54
TVN,1222.54,1223.58
TVF,1223.58,1224.86
TVN,1224.86,1227.05
TVN,1227.05,1228.05
TVN,1228.05,1229.56
TVN,1229.56,1230.67
TVN,1230.67,1232.44
TVN,1232.44,1233.45
TVN,1233.45,1235.12
TVN,1235.12,1236.44
TVN,1236.44,1240.73
TVN,1240.73,1242.10
TVN,1242.10,1251.39
TVN,1251.39,1252.23
TVN,1252.23,1253.54
TVN,1253.54,1254.65
TVN,1254.65,1255.65
TVN,1255.65,1256.65
FAN,1256.65,1257.78
FAN,1257.78,1259.22
FAN,1259.22,1260.72
OLF,1260.72,1261.52
TVN,1261.52,1262.56
FAN,1262.56,1265.75
CXN,1265.75,1266.67
FAN,1266.67,1268.06
CXN,1268.06,1268.94
TVF,1268.94,1270.11
FAN,1270.11,1270.91
FAN,1270.91,1271.94
TVF,1271.94,1272.97
OLF,1272.97,1274.56
TVF,1274.56,1277.51
CXF,1277.51,1279.38
TVF,1279.38,1282.73
TVF,1282.73,1283.61
TVF,1283.61,1284.61
TVF,1284.61,1285.49
TVF,1285.49,1286.91
OLF,1286.91,1287.97
TVF,1287.97,1292.25
NOF,1292.25,1293.31
OLF,1293.31,1294.37
CXF,1294.37,1295.57
TVF,1295.57,1297.05
OLF,1297.05,1299.91
CXN,1299.91,1301.06
OLN,1301.06,1301.86
MAN,1301.86,1302.86
TVF,1302.86,1304.86
OLF,1304.86,1308.07
TVF,1308.07,1309.07
FAN,1309.07,1310.41
TVF,1310.41,1312.30
TVF,1312.30,1314.25
CXF,1314.25,1315.69
NOF,1315.69,1316.64
CHNSP,1316.64,1317.53
OLF,1317.53,1319.44
FAN,1319.44,1320.34
TVF,1320.34,1321.34
FAN,1321.34,1322.61
TVF,1322.61,1323.85
MAN,1323.85,1324.87
OLF,1324.87,1325.68
NOF,1325.68,1326.87
CXN,1326.87,1327.67
FAN,1327.67,1329.48
OLN,1329.48,1330.32
FAN,1330.32,1331.54
TVF,1331.54,1332.54
CXF,1332.54,1333.40
FAN,1333.40,1334.99
OLF,1334.99,1336.13
MAN,1336.13,1337.18
TVF,1337.18,1338.26
MAN,1338.26,1339.37
OLF,1339.37,1340.18
FAN,1340.18,1341.18
CXN,1341.18,1341.98
OLF,1341.98,1342.84
FAF,1342.84,1344.00
OLF,1344.00,1344.80
FAF,1344.80,1345.95
OLF,1345.95,1348.21
NOF,1348.21,1349.01
OLF,1349.01,1351.09
NOF,1351.09,1352.00
OLF,1352.00,1352.98
FAF,1352.98,1354.37
TVF,1354.37,1355.17
TVF,1355.17,1356.13
FAF,1356.13,1357.21
CXN,1357.21,1358.03
FAF,1358.03,1359.58
OLF,1359.58,1360.56
FAN,1360.56,1362.37
TVF,1362.37,1362.97
TVN,1362.97,1364.56
FAF,1364.56,1365.96
MAN,1365.96,1367.00
CXN,1367.00,1367.99
MAN,1367.99,1370.58
TVF,1370.58,1372.15
TVF,1372.15,1374.10
TVF,1374.10,1376.58
FAF,1376.58,1378.46
CXF,1378.46,1380.10
FAF,1380.10,1381.14
TVF,1381.14,1382.14
NOF,1382.14,1383.30
OLF,1383.30,1384.13
TVN,1384.13,1385.46
OLF,1385.46,1386.27
TVF,1386.27,1387.43
FAF,1387.43,1389.22
NOF,1389.22,1390.50
CXF,1390.50,1391.30
OLN,1391.30,1392.12
CXF,1392.12,1394.38
TVF,1394.38,1395.40
CXF,1395.40,1397.21
TVF,1397.21,1398.21
FAN,1398.21,1399.41
CXN,1399.41,1400.49
TVN,1400.49,1402.13
TVF,1402.13,1402.93
TVF,1402.93,1403.77
FAN,1403.77,1405.56
MAN,1405.56,1407.07
CHNSP,1407.07,1407.67
FAN,1407.67,1408.69
TVN,1408.69,1409.69
MAN,1409.69,1411.51
TVF,1411.51,1415.65
NOF,1415.65,1417.23
TVF,1417.23,1419.88
NOF,1419.88,1420.71
TVN,1420.71,1423.77
SIL,1423.77,1424.67
MAF,1424.67,1425.91
TVF,1425.91,1427.16
FAF,1427.16,1430.54
OLF,1430.54,1431.47
TVN,1431.47,1432.50
OLF,1432.50,1433.38
MAN,1433.38,1434.38
OLF,1434.38,1435.18
FAF,1435.18,1436.43
OLF,1436.43,1437.38
FAF,1437.38,1438.45
NOF,1438.45,1439.82
TVF,1439.82,1441.21
NOF,1441.21,1442.26
TVF,1442.26,1443.26
FAF,1443.26,1444.32
TVF,1444.32,1445.32
FAF,1445.32,1446.41
OLF,1446.41,1447.24
NOF,1447.24,1448.53
TVF,1448.53,1449.53
TVF,1449.53,1450.72
TVF,1450.72,1452.95
FAF,1452.95,1454.52
TVF,1454.52,1455.71
NOF,1455.71,1456.51
TVF,1456.51,1457.52
OLF,1457.52,1459.13
TVF,1459.13,1460.90
TVF,1460.90,1461.91
TVF,1461.91,1462.76
OLF,1462.76,1463.62
FAF,1463.62,1466.63
NOF,1466.63,1467.43
OLF,1467.43,1470.97
CXF,1470.97,1471.91
TVF,1471.91,1472.91
FAF,1472.91,1474.30
TVN,1474.30,1475.48
OLF,1475.48,1476.56
TVF,1476.56,1477.63
NOF,1477.63,1478.99
TVF,1478.99,1480.87
