segtype,startsec,endsec
CXN,0.00,3.61
CXN,3.61,4.61
CHNNSP,4.61,6.83
SIL,6.83,7.70
NOF,7.70,9.26
SIL,9.26,10.07
NOF,10.07,14.43
CHNNSP,14.43,23.12
SIL,23.12,24.09
NOF,24.09,25.62
CHNNSP,25.62,29.02
FAN,29.02,30.02
NOF,30.02,30.98
CHNSP,30.98,32.88
MAN,32.88,33.89
NOF,33.89,34.78
SIL,34.78,35.67
CHNSP,35.67,36.88
MAN,36.88,38.09
CHNSP,38.09,38.78
MAN,38.78,39.93
SIL,39.93,40.92
MAN,40.92,41.99
NOF,41.99,42.90
CHNSP,42.90,47.12
NOF,47.12,48.03
CXN,48.03,48.64
SIL,48.64,49.87
CHNSP,49.87,50.94
FAN,50.94,52.01
SIL,52.01,53.29
FAN,53.29,54.39
SIL,54.39,55.75
NOF,55.75,56.55
FAN,56.55,58.02
NOF,58.02,59.22
SIL,59.22,60.02
CXN,60.02,61.21
CHNSP,61.21,61.84
CHNSP,61.84,63.30
CHNSP,63.30,64.17
FAN,64.17,65.85
CHNSP,65.85,66.55
CXN,66.55,67.82
FAF,67.82,68.62
CHNSP,68.62,70.27
CHNSP,70.27,70.88
CHNNSP,70.88,72.02
OLN,72.02,72.82
FAN,72.82,75.51
NOF,75.51,76.44
CHNSP,76.44,77.92
NOF,77.92,79.03
CHNSP,79.03,81.53
NOF,81.53,82.33
CHNSP,82.33,83.87
CHNNSP,83.87,84.83
CXN,84.83,86.08
CXN,86.08,87.09
SIL,87.09,88.11
CXN,88.11,91.97
TVF,91.97,92.77
OLN,92.77,93.41
CXN,93.41,94.28
SIL,94.28,95.08
CHNNSP,95.08,96.27
CXN,96.27,97.08
OLN,97.08,98.04
CXN,98.04,98.92
CHNSP,98.92,99.76
CXN,99.76,100.62
CHNSP,100.62,101.44
OLN,101.44,102.24
CHNSP,102.24,102.93
CXN,102.93,105.39
NOF,105.39,106.19
CXN,106.19,107.87
FAN,107.87,109.35
CXN,109.35,110.75
OLN,110.75,111.75
FAN,111.75,112.77
CXN,112.77,114.62
FAN,114.62,115.23
CHNSP,115.23,116.24
CHNSP,116.24,117.08
FAN,117.08,118.52
OLN,118.52,119.42
CHNSP,119.42,120.63
NOF,120.63,121.92
FAN,121.92,124.19
CHNSP,124.19,125.03
SIL,125.03,125.85
TVF,125.85,126.85
CHNSP,126.85,127.79
CXN,127.79,128.61
NOF,128.61,129.41
FAN,129.41,130.41
CXN,130.41,131.21
NOF,131.21,132.01
FAN,132.01,133.96
CXN,133.96,135.17
NOF,135.17,136.88
FAN,136.88,137.88
NOF,137.88,138.68
SIL,138.68,139.67
NOF,139.67,140.47
FAN,140.47,150.88
SIL,150.88,152.01
FAN,152.01,157.68
CHNSP,157.68,158.63
CHNSP,158.63,159.94
SIL,159.94,160.74
FAN,160.74,162.35
SIL,162.35,164.08
FAN,164.08,165.08
CHF,165.08,165.89
SIL,165.89,167.11
NOF,167.11,167.96
SIL,167.96,168.84
NOF,168.84,170.05
FAN,170.05,171.53
NOF,171.53,172.33
CHNSP,172.33,173.16
FAN,173.16,175.05
SIL,175.05,175.85
FAN,175.85,176.85
SIL,176.85,178.18
CHNNSP,178.18,179.18
SIL,179.18,180.22
TVF,180.22,181.29
CHNSP,181.29,181.90
FAN,181.90,183.25
SIL,183.25,184.07
FAN,184.07,185.80
SIL,185.80,187.14
FAN,187.14,188.49
CHNSP,188.49,190.78
NOF,190.78,191.62
FAN,191.62,193.28
SIL,193.28,194.38
CHNSP,194.38,195.38
CHNSP,195.38,198.51
FAN,198.51,199.55
CHNSP,199.55,200.28
FAN,200.28,201.46
SIL,201.46,202.46
FAN,202.46,203.67
SIL,203.67,204.71
SIL,204.71,206.51
CHNSP,206.51,207.36
CHF,207.36,208.16
SIL,208.16,209.06
SIL,209.06,210.91
SIL,210.91,212.74
CHF,212.74,213.57
SIL,213.57,214.37
CHNSP,214.37,215.99
FAN,215.99,222.01
CHNNSP,222.01,223.91
CXN,223.91,224.93
CHNSP,224.93,226.39
CHNSP,226.39,227.42
CXN,227.42,228.06
FAN,228.06,230.37
FAN,230.37,230.99
SIL,230.99,231.93
FAN,231.93,233.44
CHNSP,233.44,236.93
TVF,236.93,237.93
CHNSP,237.93,238.93
NOF,238.93,240.67
FAN,240.67,242.51
SIL,242.51,243.54
CHNSP,243.54,244.15
SIL,244.15,245.15
CHNSP,245.15,247.65
CHNSP,247.65,248.28
SIL,248.28,249.83
CHNSP,249.83,251.12
CHNSP,251.12,252.72
FAN,252.72,253.87
NOF,253.87,254.73
CHNNSP,254.73,255.33
CHNSP,255.33,256.33
SIL,256.33,257.48
FAN,257.48,258.58
SIL,258.58,260.04
CHNSP,260.04,260.82
SIL,260.82,262.52
CHNSP,262.52,263.52
CHNNSP,263.52,267.14
NOF,267.14,267.94
FAN,267.94,268.94
CHNSP,268.94,269.54
FAN,269.54,270.55
CHNSP,270.55,271.33
FAN,271.33,272.54
CHNSP,272.54,274.61
OLN,274.61,275.44
NOF,275.44,276.27
FAN,276.27,278.71
NOF,278.71,279.56
FAN,279.56,280.17
NOF,280.17,280.97
SIL,280.97,281.77
FAN,281.77,283.14
SIL,283.14,284.39
NON,284.39,285.42
FAF,285.42,286.02
SIL,286.02,286.83
FAN,286.83,287.65
CHNSP,287.65,289.39
CHNNSP,289.39,290.65
SIL,290.65,291.45
NOF,291.45,292.25
FAN,292.25,293.25
CHNNSP,293.25,294.20
FAN,294.20,295.20
FAN,295.20,295.88
SIL,295.88,297.22
SIL,297.22,298.23
NOF,298.23,299.65
CHNNSP,299.65,300.25
CHF,300.25,301.05
CHNNSP,301.05,301.80
NOF,301.80,302.60
CHNNSP,302.60,303.44
CHNNSP,303.44,304.76
NOF,304.76,305.68
SIL,305.68,306.48
SIL,306.48,309.48
SIL,309.48,310.39
CXN,310.39,312.24
NOF,312.24,313.04
CXN,313.04,313.84
CHNNSP,313.84,315.47
CXN,315.47,316.32
CHNNSP,316.32,317.00
SIL,317.00,318.97
CHNNSP,318.97,322.32
NOF,322.32,323.43
CHNNSP,323.43,324.44
CHNSP,324.44,325.27
CHNSP,325.27,327.21
CHNSP,327.21,328.48
CHNSP,328.48,329.52
CHNNSP,329.52,330.99
CHNSP,330.99,333.52
TVF,333.52,335.08
SIL,335.08,335.90
CHNSP,335.90,338.55
SIL,338.55,340.05
CHNNSP,340.05,340.65
NOF,340.65,341.94
TVF,341.94,343.02
CHNSP,343.02,344.05
SIL,344.05,344.88
FAN,344.88,346.49
CHNNSP,346.49,347.20
CHNSP,347.20,349.93
TVF,349.93,350.99
CHNSP,350.99,352.26
FAN,352.26,352.86
SIL,352.86,353.66
CHNSP,353.66,355.93
SIL,355.93,359.01
FAN,359.01,360.18
CHNNSP,360.18,361.90
TVF,361.90,362.93
CHNSP,362.93,364.45
SIL,364.45,365.27
NOF,365.27,366.79
FAN,366.79,368.12
SIL,368.12,369.49
CHNSP,369.49,371.10
SIL,371.10,372.27
CHNSP,372.27,373.99
NOF,373.99,374.80
SIL,374.80,375.80
NOF,375.80,377.01
SIL,377.01,378.28
SIL,378.28,381.21
FAN,381.21,384.80
OLN,384.80,385.70
NOF,385.70,386.50
FAN,386.50,387.61
FAN,387.61,388.27
FAN,388.27,390.14
NOF,390.14,390.94
CHNSP,390.94,392.53
NOF,392.53,393.51
FAN,393.51,394.71
SIL,394.71,395.56
FAN,395.56,396.89
SIL,396.89,397.89
NOF,397.89,399.23
FAN,399.23,400.30
TVF,400.30,401.26
FAN,401.26,402.51
TVN,402.51,403.51
FAF,403.51,404.31
FAN,404.31,406.53
NOF,406.53,408.06
CHNSP,408.06,409.06
NOF,409.06,409.98
CHNSP,409.98,410.60
CHNSP,410.60,411.77
SIL,411.77,412.57
CHNSP,412.57,414.36
NOF,414.36,415.23
SIL,415.23,416.09
TVF,416.09,418.01
CHNSP,418.01,418.63
NOF,418.63,420.63
SIL,420.63,421.64
NOF,421.64,422.44
FAN,422.44,424.55
SIL,424.55,425.98
CHF,425.98,426.62
NOF,426.62,427.44
CHNSP,427.44,428.99
NOF,428.99,429.79
CHNSP,429.79,431.27
NOF,431.27,432.07
FAN,432.07,433.09
MAN,433.09,434.17
CXN,434.17,434.92
TVF,434.92,435.92
NOF,435.92,438.86
CHNSP,438.86,439.46
SIL,439.46,440.26
CHNSP,440.26,440.90
SIL,440.90,442.09
TVF,442.09,445.80
FAN,445.80,447.98
FAN,447.98,448.80
CHNSP,448.80,449.40
NOF,449.40,451.94
FAN,451.94,453.14
FAN,453.14,453.74
SIL,453.74,454.72
NOF,454.72,455.53
SIL,455.53,458.36
CXN,458.36,458.96
FAN,458.96,460.66
CHNSP,460.66,461.26
FAN,461.26,462.55
MAF,462.55,463.56
CHNSP,463.56,464.16
SIL,464.16,464.97
CHNSP,464.97,466.53
SIL,466.53,467.79
CHNSP,467.79,469.01
NOF,469.01,469.82
OLN,469.82,470.62
CHNSP,470.62,472.12
CXN,472.12,472.92
SIL,472.92,473.82
CXN,473.82,474.45
CXN,474.45,475.25
FAN,475.25,476.33
CXF,476.33,477.14
SIL,477.14,478.78
CXN,478.78,480.29
SIL,480.29,481.12
CHNSP,481.12,481.74
NOF,481.74,482.81
SIL,482.81,483.95
NOF,483.95,484.75
CHNSP,484.75,485.82
NOF,485.82,486.62
CHNSP,486.62,487.37
NOF,487.37,488.40
SIL,488.40,489.50
SIL,489.50,490.41
NOF,490.41,492.46
CXN,492.46,493.07
FAN,493.07,494.09
CHNSP,494.09,494.85
NON,494.85,495.65
MAN,495.65,496.65
NON,496.65,498.50
CXN,498.50,499.10
NON,499.10,500.18
CXN,500.18,500.80
NON,500.80,502.66
CHNSP,502.66,503.26
CXN,503.26,504.30
CHNSP,504.30,505.13
OLN,505.13,505.94
CXN,505.94,507.01
OLN,507.01,509.11
CXN,509.11,511.12
MAN,511.12,513.94
CXN,513.94,515.18
FAN,515.18,516.33
OLN,516.33,517.13
MAN,517.13,518.13
FAN,518.13,518.73
OLN,518.73,519.72
MAN,519.72,520.78
OLN,520.78,522.39
CXN,522.39,523.27
FAN,523.27,524.27
OLN,524.27,525.16
MAN,525.16,526.16
CXN,526.16,527.27
CXN,527.27,528.28
CXN,528.28,529.59
OLN,529.59,530.39
FAF,530.39,531.19
OLN,531.19,532.28
MAN,532.28,533.31
CXN,533.31,534.11
MAN,534.11,535.58
OLN,535.58,536.74
NOF,536.74,537.54
MAN,537.54,538.54
OLN,538.54,539.76
MAN,539.76,541.14
OLN,541.14,542.14
MAN,542.14,545.75
FAN,545.75,546.78
CXN,546.78,547.59
CXN,547.59,548.21
CXN,548.21,549.40
FAN,549.40,551.34
NON,551.34,552.46
CXN,552.46,553.06
CXN,553.06,553.87
CXN,553.87,554.47
OLN,554.47,555.27
CXN,555.27,555.87
OLN,555.87,556.67
CHNNSP,556.67,557.38
CHNSP,557.38,558.18
CHNNSP,558.18,558.79
CXN,558.79,559.59
CHNNSP,559.59,563.49
CXN,563.49,564.94
CHNSP,564.94,565.67
CXN,565.67,567.32
OLN,567.32,568.17
CHNNSP,568.17,568.77
FAN,568.77,569.77
CXN,569.77,570.73
FAN,570.73,572.64
CHNSP,572.64,573.24
CHNSP,573.24,574.04
CHNSP,574.04,575.29
FAN,575.29,576.69
CHNSP,576.69,577.83
CXN,577.83,580.22
CHNSP,580.22,581.18
FAN,581.18,582.78
NOF,582.78,583.59
FAN,583.59,584.59
CXN,584.59,586.68
OLN,586.68,587.50
CXN,587.50,589.61
CHNSP,589.61,590.21
CXN,590.21,591.03
CXN,591.03,592.84
CXN,592.84,593.44
CXN,593.44,594.91
CXN,594.91,596.25
CXN,596.25,597.18
FAN,597.18,598.21
NON,598.21,600.33
CXN,600.33,601.50
TVF,601.50,602.53
TVF,602.53,603.50
TVF,603.50,605.52
TVF,605.52,606.62
CXF,606.62,609.26
CXN,609.26,609.86
CXF,609.86,612.09
CXN,612.09,612.69
NOF,612.69,613.93
FAF,613.93,614.73
SIL,614.73,615.86
CXN,615.86,616.66
TVF,616.66,617.69
SIL,617.69,618.61
TVF,618.61,619.89
CXN,619.89,621.37
TVF,621.37,622.37
CXF,622.37,625.81
CHNSP,625.81,627.07
CXN,627.07,627.87
TVF,627.87,629.53
CXF,629.53,631.69
CXN,631.69,633.02
SIL,633.02,633.90
CXF,633.90,634.81
NOF,634.81,635.79
CXN,635.79,636.68
CXN,636.68,637.28
CXN,637.28,638.30
NOF,638.30,639.33
CXN,639.33,640.76
SIL,640.76,644.52
CXN,644.52,645.49
CHNSP,645.49,646.26
SIL,646.26,647.07
CHNSP,647.07,647.90
CXF,647.90,648.90
TVF,648.90,649.99
NOF,649.99,651.37
SIL,651.37,652.37
CXF,652.37,653.21
TVF,653.21,654.21
CHNSP,654.21,654.86
SIL,654.86,655.66
FAF,655.66,656.51
SIL,656.51,657.31
CXN,657.31,657.92
CXF,657.92,658.85
CXF,658.85,660.65
TVF,660.65,666.23
NOF,666.23,667.20
TVF,667.20,672.17
NOF,672.17,673.81
FAF,673.81,674.81
NOF,674.81,675.73
FAF,675.73,677.35
NOF,677.35,678.32
FAN,678.32,683.17
