segtype,startsec,endsec
SIL,0.00,2.01
NOF,2.01,3.15
FAF,3.15,4.32
FAN,4.32,5.09
NOF,5.09,7.14
FAN,7.14,9.02
NOF,9.02,13.01
OLF,13.01,13.87
NOF,13.87,17.68
OLN,17.68,19.90
FAN,19.90,20.91
FAF,20.91,21.72
FAN,21.72,22.32
NOF,22.32,25.21
FAN,25.21,26.20
NOF,26.20,27.00
FAF,27.00,28.36
SIL,28.36,35.99
NOF,35.99,36.80
CHNSP,36.80,37.89
FAF,37.89,38.89
CHNSP,38.89,39.77
FAN,39.77,41.16
SIL,41.16,43.48
FAF,43.48,44.48
SIL,44.48,55.24
CXN,55.24,56.13
SIL,56.13,57.05
FAF,57.05,58.21
FAN,58.21,60.14
NOF,60.14,61.46
FAN,61.46,62.06
NOF,62.06,65.24
FAN,65.24,66.34
CHNNSP,66.34,66.95
OLN,66.95,67.75
CHNNSP,67.75,68.35
OLN,68.35,69.27
NOF,69.27,70.41
FAF,70.41,71.57
SIL,71.57,72.37
MAN,72.37,73.37
NON,73.37,75.05
SIL,75.05,76.95
CXF,76.95,77.76
SIL,77.76,78.86
NOF,78.86,80.83
SIL,80.83,82.24
NOF,82.24,83.04
SIL,83.04,83.84
OLF,83.84,84.67
SIL,84.67,85.57
CXN,85.57,86.86
OLN,86.86,87.66
NOF,87.66,88.50
CHNSP,88.50,89.30
NOF,89.30,90.10
CHNNSP,90.10,90.78
NON,90.78,92.62
CHNNSP,92.62,93.82
FAF,93.82,94.88
NOF,94.88,95.75
SIL,95.75,97.30
NOF,97.30,99.36
CHNSP,99.36,99.96
OLN,99.96,101.38
NOF,101.38,105.16
SIL,105.16,105.98
NOF,105.98,109.45
SIL,109.45,113.22
NOF,113.22,115.55
SIL,115.55,116.35
NOF,116.35,118.56
CHNNSP,118.56,119.16
OLF,119.16,120.03
NOF,120.03,120.94
OLF,120.94,121.76
NOF,121.76,123.12
OLN,123.12,123.95
NOF,123.95,129.85
SIL,129.85,131.68
NON,131.68,132.52
CXN,132.52,133.34
NOF,133.34,135.33
SIL,135.33,141.35
NOF,141.35,142.71
OLN,142.71,143.64
NOF,143.64,146.51
CHNSP,146.51,147.82
NOF,147.82,148.72
SIL,148.72,149.52
NOF,149.52,152.71
CHNSP,152.71,153.31
CXF,153.31,154.36
CXN,154.36,155.16
CHNNSP,155.16,155.85
CXN,155.85,158.32
NOF,158.32,159.51
CXN,159.51,160.82
NOF,160.82,162.30
SIL,162.30,163.26
NON,163.26,167.85
SIL,167.85,168.65
NOF,168.65,169.48
CXN,169.48,171.80
OLN,171.80,173.02
FAN,173.02,174.07
TVF,174.07,174.87
SIL,174.87,176.28
FAN,176.28,177.53
NOF,177.53,179.15
SIL,179.15,180.28
NOF,180.28,181.21
OLF,181.21,182.01
NOF,182.01,182.81
OLN,182.81,183.64
OLF,183.64,184.57
OLN,184.57,186.31
NOF,186.31,188.48
OLN,188.48,193.43
FAN,193.43,194.43
OLF,194.43,195.57
NON,195.57,196.40
OLN,196.40,197.44
NOF,197.44,198.24
OLN,198.24,199.06
NOF,199.06,199.86
FAN,199.86,200.50
OLN,200.50,201.47
NOF,201.47,204.10
FAN,204.10,205.21
NOF,205.21,206.08
OLN,206.08,207.02
NON,207.02,208.54
FAN,208.54,209.68
NOF,209.68,210.48
SIL,210.48,211.28
NOF,211.28,215.18
OLN,215.18,215.98
NOF,215.98,217.08
