startSeconds,endSeconds,isTargetChild
3527.62,3528.5,False
3528.5,3529.36,False
3548.77,3549.38,False
3554.97,3555.58,True
3626.05,3626.65,True
3645.21,3646.02,False
3686.82,3687.42,False
3807.61,3808.24,False
3825.12,3825.72,True
3841.99,3842.6,True
3907.99,3908.6,True
3986.69,3987.39,False
4018.31,4018.94,True
4061.69,4062.29,True
4075.55,4076.15,False
4157.44,4158.04,True
4216.61,4217.79,False
4672.34,4673.03,False
7080.6,7081.2,False
7087.75,7088.35,False
9543.12,9543.79,True
9580.67,9581.27,False
10551.67,10552.27,True
10653.84,10654.47,False
10662.43,10663.05,False
10664.01,10664.78,False
12868.5,12869.1,True
13347.29,13348.52,False
13350.02,13351.22,False
13355.35,13356.08,False
13363.37,13363.99,False
13621.42,13622.51,False
13624.89,13625.6,False
13629.28,13629.93,False
13629.93,13630.93,False
13631.78,13632.58,False
13632.58,13633.4,False
13634.37,13635.48,False
13636.33,13637.35,False
13777.61,13778.3,False
13838.23,13838.86,False
13929.19,13929.79,False
13935.64,13936.24,False
13984.28,13984.88,False
13986.23,13986.86,False
14000.85,14001.48,False
14001.48,14002.28,False
14002.28,14002.88,False
14032.66,14035.19,True
14054.95,14055.55,True
14061.2,14061.8,True
14072.71,14073.31,False
14111.66,14112.88,True
14114.68,14115.28,True
14134.71,14135.31,False
14136.11,14136.71,True
14141.99,14142.65,False
14150.42,14151.59,False
14152.44,14153.65,False
14161.8,14162.95,False
14162.95,14163.91,False
14165.33,14165.94,False
14169.81,14170.84,False
14172.7,14174.0,False
14176.28,14177.33,False
14179.28,14182.11,False
14183.8,14184.92,True
14186.15,14186.97,False
14198.81,14199.41,True
14200.21,14201.14,True
14202.81,14204.07,True
14208.4,14209.8,True
14210.86,14211.62,True
14213.67,14217.13,True
14218.05,14220.14,True
14220.96,14221.77,False
14223.37,14225.04,False
14228.76,14230.52,False
14235.87,14236.64,False
14237.44,14238.97,True
14239.9,14240.77,True
14241.64,14243.46,False
14244.34,14245.52,False
14246.49,14247.2,False
14249.17,14251.78,False
14256.18,14256.78,False
14265.51,14266.84,True
14267.64,14268.77,False
14269.94,14271.27,False
14272.07,14272.98,False
14275.78,14277.84,True
14280.12,14281.32,True
14282.13,14282.82,True
14283.85,14285.19,True
14286.15,14287.5,True
14288.61,14289.22,True
14290.36,14291.12,True
14292.04,14293.08,False
14293.88,14294.92,True
14295.94,14298.07,False
14298.88,14299.97,False
14300.77,14302.35,False
14303.95,14304.65,True
14307.07,14310.58,False
14311.88,14315.03,False
14316.06,14317.36,False
14318.23,14319.09,False
14319.89,14322.39,True
14323.41,14324.63,True
14325.73,14326.33,True
14327.13,14328.73,False
14328.73,14329.78,False
14329.78,14330.38,False
14331.45,14332.4,True
14333.22,14334.73,False
14334.73,14335.73,False
14335.73,14337.2,True
14338.07,14338.67,False
14339.83,14342.8,True
14345.65,14346.37,False
14379.88,14381.14,False
14381.99,14382.71,True
14383.51,14385.48,False
14387.03,14388.72,False
14408.08,14409.73,False
14411.34,14411.94,True
14414.37,14416.2,True
14417.07,14418.16,False
14419.42,14420.67,False
14421.5,14423.31,False
14431.27,14432.69,False
14432.69,14433.69,False
14436.41,14437.41,False
14439.14,14439.89,False
14440.73,14441.52,False
14442.39,14443.25,False
14448.39,14449.1,False
14449.9,14450.5,False
14452.3,14453.44,False
14458.65,14459.42,False
14460.25,14460.9,False
14464.86,14465.66,True
14468.67,14469.28,False
14470.97,14471.57,False
14486.83,14487.43,False
14495.49,14496.09,False
14496.91,14497.51,False
14543.11,14543.96,False
14546.36,14547.12,False
14567.3,14567.9,False
14618.63,14619.26,False
14644.21,14644.81,False
14648.17,14648.77,False
14700.37,14701.06,False
14722.64,14723.66,False
15120.63,15121.3,True
15259.96,15261.0,True
15261.81,15262.47,False
15267.1,15267.7,False
15273.77,15275.13,False
15279.65,15280.26,False
15282.76,15284.47,False
15290.22,15290.82,False
15294.17,15294.97,False
15296.19,15297.84,False
15299.73,15300.33,False
15302.88,15303.73,False
15305.02,15306.84,True
15310.29,15311.01,True
15312.64,15313.74,False
15316.11,15316.77,False
15318.39,15319.37,True
15320.64,15322.57,True
15324.32,15325.62,False
15331.47,15332.07,False
15340.58,15341.45,True
15343.5,15344.12,False
15345.19,15347.26,False
15347.26,15348.26,False
15348.26,15349.52,False
15350.32,15352.2,False
15353.0,15353.6,False
15355.67,15356.27,False
15360.64,15361.67,False
15362.47,15363.16,True
15364.16,15364.97,False
15367.28,15368.01,False
15370.12,15370.72,False
15371.68,15372.28,False
15372.28,15373.28,False
15373.28,15373.9,False
15375.26,15375.95,False
15382.79,15383.69,False
15684.58,15685.27,False
15689.82,15690.54,False
15692.11,15692.91,False
15707.87,15708.7,False
15729.09,15729.7,False
15730.96,15731.56,False
15733.83,15734.43,False
15738.52,15739.12,False
15740.53,15741.13,False
15742.91,15743.51,False
15744.68,15746.42,False
15748.25,15749.25,True
15749.25,15750.42,True
15761.47,15762.2,True
15765.14,15766.11,True
15768.78,15771.66,True
15773.51,15774.11,True
15775.83,15776.45,True
15778.67,15779.75,True
15785.11,15785.71,True
15807.84,15808.49,True
15818.03,15819.14,True
15825.02,15826.09,True
15827.2,15828.11,True
15835.54,15836.15,True
16050.74,16051.73,False
16157.14,16157.86,False
16191.63,16192.44,False
16211.58,16212.18,False
16213.63,16214.6,True
16238.64,16239.25,False
16242.94,16244.59,True
16245.88,16246.48,False
16248.54,16250.04,False
16268.41,16269.25,False
16290.89,16291.49,False
16305.38,16306.04,False
16306.86,16308.04,False
16309.22,16309.99,False
16311.35,16314.01,False
16315.04,16316.01,False
16317.0,16317.71,False
16324.25,16324.85,False
16333.66,16334.45,False
16342.38,16343.28,False
16345.14,16346.38,False
16347.55,16348.83,False
16349.63,16351.0,False
16352.96,16353.56,False
16354.82,16355.47,False
16356.52,16357.15,False
16357.95,16358.55,False
16359.71,16360.83,False
16361.65,16362.25,False
16363.05,16363.86,False
16364.68,16366.28,False
16367.39,16368.47,False
16369.49,16370.87,False
16371.92,16374.08,False
16375.81,16376.81,False
16380.77,16381.89,False
16383.73,16384.33,False
16385.15,16385.76,False
16388.23,16391.1,True
16395.26,16396.57,True
16397.91,16398.63,False
16400.14,16400.74,True
16409.99,16411.41,False
16413.6,16414.2,True
16415.0,16415.69,False
16417.62,16418.32,True
16419.28,16420.01,True
16425.49,16426.32,True
16427.16,16427.76,False
16436.47,16437.21,True
16439.82,16440.42,True
16483.69,16484.29,True
16593.28,16594.14,False
16606.29,16606.9,False
16629.82,16630.43,True
16636.28,16636.89,True
16636.89,16637.89,False
16665.42,16666.72,False
16685.11,16685.71,False
16718.63,16719.35,False
16754.54,16755.14,True
16767.87,16768.86,True
16806.63,16807.45,True
16925.99,16926.9,True
16931.12,16932.61,False
16947.91,16948.55,False
16995.84,16996.44,False
16998.33,16999.4,True
17001.22,17001.82,True
17002.62,17003.66,True
17004.51,17005.3,True
17009.7,17010.36,False
17114.34,17114.94,False
17307.89,17308.5,True
17310.37,17311.28,True
17313.44,17314.67,False
17323.71,17324.96,False
17330.07,17330.81,False
17381.22,17382.08,False
17598.24,17598.87,False
17602.22,17602.96,False
17608.26,17608.95,False
17623.49,17624.09,False
17625.24,17625.84,False
17638.07,17638.67,False
17640.16,17640.76,False
17643.12,17644.47,False
17688.77,17689.72,False
17697.2,17698.22,False
17699.8,17700.59,False
17786.76,17787.65,False
17788.62,17790.02,False
17802.33,17803.0,False
17923.6,17924.24,False
17930.26,17930.86,False
17938.08,17938.68,False
17939.76,17940.36,False
17947.49,17948.64,False
18027.72,18028.79,False
18033.56,18034.36,False
18051.67,18052.73,False
18054.53,18055.53,False
18165.59,18166.36,False
18167.16,18167.76,False
18169.55,18170.15,True
18173.62,18174.23,True
18204.23,18204.83,True
18205.78,18206.46,True
18214.32,18215.03,True
18222.8,18223.42,True
18248.96,18249.6,True
18253.86,18254.47,True
18259.97,18260.58,False
18279.14,18280.14,False
18281.69,18282.36,False
18283.79,18284.8,False
18288.2,18288.84,False
18303.62,18304.25,False
18312.66,18313.66,False
18320.92,18321.92,False
18352.12,18352.84,False
18389.41,18390.06,False
