segtype,startsec,endsec
SIL,0.00,2.93
CXN,2.93,3.73
NOF,3.73,4.63
OLN,4.63,5.72
MAF,5.72,6.70
OLF,6.70,8.57
NOF,8.57,9.61
OLN,9.61,10.52
NOF,10.52,15.75
CXN,15.75,16.55
OLN,16.55,17.48
MAN,17.48,19.25
CXN,19.25,21.22
NOF,21.22,22.95
SIL,22.95,23.88
OLF,23.88,24.80
CXN,24.80,25.70
SIL,25.70,26.67
FAF,26.67,28.15
SIL,28.15,29.06
CXN,29.06,30.54
TVN,30.54,31.54
CXN,31.54,32.35
SIL,32.35,33.22
TVN,33.22,34.40
CXN,34.40,35.20
SIL,35.20,36.00
CHNSP,36.00,37.29
SIL,37.29,38.76
TVF,38.76,39.78
SIL,39.78,41.66
TVN,41.66,42.46
SIL,42.46,43.54
NOF,43.54,44.82
OLN,44.82,45.62
CXN,45.62,46.95
FAN,46.95,48.79
FAN,48.79,49.46
CXN,49.46,50.42
OLN,50.42,51.87
OLF,51.87,52.74
FAF,52.74,53.74
OLN,53.74,54.54
NOF,54.54,58.03
SIL,58.03,58.83
NOF,58.83,61.86
MAN,61.86,62.86
SIL,62.86,63.99
CXN,63.99,64.79
SIL,64.79,65.59
CXN,65.59,68.47
SIL,68.47,69.65
TVN,69.65,70.45
SIL,70.45,71.98
NOF,71.98,72.79
SIL,72.79,73.92
FAN,73.92,74.92
SIL,74.92,78.24
CXN,78.24,79.90
OLF,79.90,80.56
CXN,80.56,81.36
SIL,81.36,83.58
CXN,83.58,85.10
FAN,85.10,86.16
CXN,86.16,86.97
SIL,86.97,87.95
CXN,87.95,90.25
SIL,90.25,91.05
CXN,91.05,91.85
MAF,91.85,92.86
TVF,92.86,94.76
MAF,94.76,96.06
SIL,96.06,98.86
CXN,98.86,100.22
TVF,100.22,101.72
SIL,101.72,102.66
TVF,102.66,103.84
SIL,103.84,106.11
MAN,106.11,107.16
TVF,107.16,108.16
SIL,108.16,109.97
CXN,109.97,112.28
TVN,112.28,113.88
NOF,113.88,114.68
CXF,114.68,115.48
SIL,115.48,116.41
TVN,116.41,118.48
SIL,118.48,119.28
TVF,119.28,120.08
SIL,120.08,120.89
CXN,120.89,123.44
SIL,123.44,125.50
TVF,125.50,126.30
TVF,126.30,127.49
TVF,127.49,128.49
SIL,128.49,130.40
OLF,130.40,131.31
CXN,131.31,132.72
FAN,132.72,133.77
CXN,133.77,134.57
TVN,134.57,135.57
SIL,135.57,137.58
CHNSP,137.58,138.31
SIL,138.31,140.83
TVF,140.83,141.87
FAF,141.87,142.87
SIL,142.87,143.77
CHNSP,143.77,145.16
MAN,145.16,146.21
SIL,146.21,147.86
CXN,147.86,148.94
TVN,148.94,149.95
SIL,149.95,150.80
CHNSP,150.80,153.16
CXF,153.16,154.38
TVF,154.38,155.88
SIL,155.88,156.68
CXN,156.68,157.68
CXN,157.68,158.84
SIL,158.84,160.08
CHNSP,160.08,160.77
SIL,160.77,161.57
FAF,161.57,162.94
TVF,162.94,163.96
SIL,163.96,165.19
NOF,165.19,165.99
SIL,165.99,166.79
CHNNSP,166.79,169.11
SIL,169.11,169.93
FAN,169.93,171.12
CXN,171.12,171.92
CHNSP,171.92,172.52
CXN,172.52,173.89
SIL,173.89,174.69
CXN,174.69,175.72
TVN,175.72,177.25
CXN,177.25,178.79
NOF,178.79,179.60
SIL,179.60,181.24
CXN,181.24,182.38
TVN,182.38,183.43
SIL,183.43,184.23
TVN,184.23,185.23
SIL,185.23,186.84
CXN,186.84,187.49
SIL,187.49,189.13
CHNSP,189.13,189.73
SIL,189.73,191.09
TVF,191.09,192.25
CXN,192.25,193.90
CHNSP,193.90,194.66
CXN,194.66,195.47
CHNNSP,195.47,196.52
SIL,196.52,198.00
CHNNSP,198.00,198.80
CHNNSP,198.80,199.98
OLN,199.98,200.78
SIL,200.78,202.66
CHNNSP,202.66,203.26
TVN,203.26,204.26
SIL,204.26,205.25
CXN,205.25,207.32
CHNNSP,207.32,208.75
SIL,208.75,209.55
CXN,209.55,210.51
TVN,210.51,211.51
CXN,211.51,212.50
SIL,212.50,214.47
TVN,214.47,215.29
SIL,215.29,216.09
TVN,216.09,217.20
SIL,217.20,218.61
TVF,218.61,219.95
SIL,219.95,220.75
TVF,220.75,221.63
TVF,221.63,224.75
TVF,224.75,227.54
TVN,227.54,229.18
NOF,229.18,230.00
FAF,230.00,231.10
TVN,231.10,232.10
CHNNSP,232.10,232.91
CHNNSP,232.91,233.71
SIL,233.71,234.71
TVN,234.71,235.99
FAN,235.99,237.10
NOF,237.10,238.39
TVN,238.39,239.93
NOF,239.93,240.75
SIL,240.75,241.55
MAF,241.55,242.55
NOF,242.55,243.59
SIL,243.59,244.57
TVN,244.57,245.58
NON,245.58,246.38
FAF,246.38,247.39
SIL,247.39,248.19
NOF,248.19,249.71
CXN,249.71,252.90
TVN,252.90,253.90
CXN,253.90,254.70
TVN,254.70,255.70
FAN,255.70,256.66
TVN,256.66,258.80
TVN,258.80,259.40
TVN,259.40,261.87
TVN,261.87,262.96
TVF,262.96,263.76
OLN,263.76,264.56
TVF,264.56,265.46
TVN,265.46,266.46
FAN,266.46,267.10
SIL,267.10,268.25
TVN,268.25,271.68
TVN,271.68,272.68
TVN,272.68,273.73
TVN,273.73,289.94
FAN,289.94,291.83
TVN,291.83,295.52
CXN,295.52,297.55
FAN,297.55,298.83
SIL,298.83,308.16
TVN,308.16,309.15
SIL,309.15,312.68
TVN,312.68,313.61
TVN,313.61,314.74
TVN,314.74,315.77
TVN,315.77,321.88
TVN,321.88,322.79
SIL,322.79,327.04
SIL,327.04,328.01
SIL,328.01,329.02
CXN,329.02,330.99
CHNNSP,330.99,331.67
CXN,331.67,332.83
CHNNSP,332.83,334.22
CXN,334.22,335.35
OLN,335.35,336.37
TVN,336.37,338.68
CHNSP,338.68,339.45
TVN,339.45,340.55
TVN,340.55,342.11
CHNNSP,342.11,343.05
CHNSP,343.05,343.83
TVN,343.83,345.93
MAN,345.93,347.04
TVN,347.04,348.04
CXF,348.04,349.05
TVN,349.05,351.10
CHNSP,351.10,351.90
CHNSP,351.90,353.00
MAN,353.00,354.09
TVN,354.09,356.13
TVN,356.13,357.29
TVF,357.29,358.33
SIL,358.33,359.43
TVN,359.43,360.61
CXN,360.61,361.41
SIL,361.41,362.57
TVF,362.57,364.32
CHNNSP,364.32,368.92
SIL,368.92,370.01
CHNNSP,370.01,372.31
CHNNSP,372.31,373.20
SIL,373.20,374.00
TVF,374.00,374.80
CXN,374.80,375.63
CHNNSP,375.63,376.61
TVN,376.61,377.62
