segtype,startsec,endsec
TVN,638.11,640.71
TVN,640.71,641.88
TVN,641.88,645.93
TVN,645.93,646.53
TVN,646.53,649.22
TVN,649.22,649.82
SIL,649.82,652.08
TVN,652.08,652.68
SIL,652.68,654.45
TVN,654.45,655.25
SIL,655.25,656.44
TVN,656.44,657.05
CXN,657.05,659.08
SIL,659.08,661.64
TVN,661.64,663.25
TVN,663.25,672.15
TVN,672.15,673.15
TVN,673.15,681.05
TVN,681.05,682.89
TVN,682.89,685.21
TVN,685.21,686.21
TVN,686.21,687.29
FAN,687.29,689.27
SIL,689.27,690.27
TVN,690.27,691.27
TVN,691.27,693.10
TVN,693.10,694.10
TVN,694.10,695.12
TVN,695.12,695.72
SIL,695.72,697.45
TVN,697.45,698.05
TVN,698.05,704.16
TVN,704.16,705.16
TVN,705.16,707.13
TVN,707.13,710.34
CHNNSP,710.34,710.95
TVN,710.95,712.18
TVN,712.18,720.91
TVN,720.91,721.51
TVN,721.51,723.54
TVN,723.54,724.54
SIL,724.54,726.22
TVN,726.22,727.22
MAN,727.22,728.22
TVN,728.22,729.22
FAN,729.22,731.58
TVN,731.58,736.18
TVN,736.18,737.18
SIL,737.18,740.38
TVN,740.38,741.18
TVN,741.18,742.25
TVN,742.25,742.85
SIL,742.85,745.34
TVN,745.34,746.68
SIL,746.68,747.77
FAN,747.77,750.36
TVN,750.36,765.70
TVN,765.70,766.72
TVN,766.72,768.79
TVN,768.79,770.23
TVN,770.23,778.80
SIL,778.80,785.05
TVN,785.05,787.00
SIL,787.00,793.65
TVN,793.65,804.70
SIL,804.70,812.95
TVN,812.95,819.28
TVN,819.28,820.28
TVN,820.28,822.80
FAN,822.80,824.32
TVN,824.32,835.50
TVN,835.50,836.50
TVN,836.50,839.13
TVN,839.13,840.13
SIL,840.13,843.71
TVN,843.71,844.96
TVN,844.96,859.32
TVN,859.32,860.51
SIL,860.51,870.61
TVN,870.61,871.85
TVN,871.85,875.21
FAN,875.21,876.32
TVN,876.32,879.37
CHNSP,879.37,879.98
FAN,879.98,880.99
TVN,880.99,882.21
CHNNSP,882.21,882.87
FAN,882.87,883.87
TVN,883.87,903.25
FAN,903.25,904.61
TVN,904.61,907.68
TVN,907.68,908.81
SIL,908.81,910.57
TVN,910.57,911.17
TVN,911.17,914.92
SIL,914.92,915.72
TVN,915.72,938.98
TVN,938.98,940.01
TVN,940.01,942.17
TVN,942.17,942.78
TVN,942.78,959.50
SIL,959.50,968.15
TVN,968.15,969.50
FAN,969.50,970.70
CHNNSP,970.70,971.57
TVN,971.57,973.02
CXN,973.02,973.89
TVN,973.89,983.79
TVN,983.79,984.39
TVN,984.39,986.33
TVN,986.33,986.93
TVN,986.93,991.08
CXN,991.08,991.88
SIL,991.88,992.68
FAF,992.68,993.70
SIL,993.70,995.96
TVN,995.96,997.43
TVN,997.43,1000.14
TVN,1000.14,1000.74
SIL,1000.74,1003.12
TVN,1003.12,1004.57
TVN,1004.57,1013.03
TVN,1013.03,1014.03
TVN,1014.03,1034.46
SIL,1034.46,1035.26
TVN,1035.26,1037.18
TVN,1037.18,1038.18
TVN,1038.18,1039.18
FAN,1039.18,1040.18
TVN,1040.18,1048.73
TVN,1048.73,1049.97
TVN,1049.97,1051.85
TVF,1051.85,1052.53
TVN,1052.53,1055.15
TVN,1055.15,1056.65
TVN,1056.65,1059.92
TVN,1059.92,1061.00
SIL,1061.00,1064.17
TVN,1064.17,1064.77
TVN,1064.77,1066.17
TVF,1066.17,1067.12
SIL,1067.12,1070.58
TVN,1070.58,1071.58
