segtype,startsec,endsec
TVF,0.00,1.00
SIL,1.00,2.63
SIL,2.63,3.64
SIL,3.64,4.44
NOF,4.44,8.19
OLN,8.19,9.22
NOF,9.22,10.40
OLF,10.40,11.29
NOF,11.29,12.12
OLF,12.12,13.46
NOF,13.46,14.38
OLN,14.38,15.29
NOF,15.29,17.63
SIL,17.63,18.52
NOF,18.52,19.46
SIL,19.46,2957.07
TVF,2957.07,2960.97
CXN,2960.97,2961.77
SIL,2961.77,2963.48
SIL,2963.48,2983.76
SIL,2983.76,2984.77
TVF,2984.77,2986.01
NOF,2986.01,2986.81
SIL,2986.81,2987.99
TVF,2987.99,2989.80
SIL,2989.80,2991.16
SIL,2991.16,2998.82
SIL,2998.82,3000.10
SIL,3000.10,3001.13
NOF,3001.13,3001.93
CXN,3001.93,3002.73
SIL,3002.73,3004.22
CXN,3004.22,3004.82
TVF,3004.82,3019.69
SIL,3019.69,3085.09
TVF,3085.09,3087.62
CXN,3087.62,3088.42
SIL,3088.42,3093.84
CXN,3093.84,3094.44
SIL,3094.44,3102.34
SIL,3102.34,3103.16
SIL,3103.16,3105.10
SIL,3105.10,3112.35
SIL,3112.35,3122.05
NOF,3122.05,3123.19
OLN,3123.19,3123.99
NOF,3123.99,3126.20
OLN,3126.20,3127.47
NOF,3127.47,3129.24
OLN,3129.24,3131.46
NOF,3131.46,3133.83
OLN,3133.83,3134.84
NOF,3134.84,3135.75
OLN,3135.75,3136.96
NOF,3136.96,3138.59
SIL,3138.59,3142.33
NOF,3142.33,3146.48
OLN,3146.48,3147.28
NOF,3147.28,3148.10
SIL,3148.10,3148.90
NOF,3148.90,3152.10
OLN,3152.10,3153.00
NOF,3153.00,3154.04
OLN,3154.04,3159.86
NOF,3159.86,3161.34
SIL,3161.34,3162.38
OLF,3162.38,3164.95
SIL,3164.95,3166.13
OLF,3166.13,3166.93
CHNNSP,3166.93,3167.53
NOF,3167.53,3168.93
CHNNSP,3168.93,3169.53
NOF,3169.53,3171.08
SIL,3171.08,3172.09
NOF,3172.09,3173.16
OLF,3173.16,3173.96
NON,3173.96,3174.96
OLN,3174.96,3176.27
NON,3176.27,3177.07
OLN,3177.07,3178.14
NON,3178.14,3178.95
CHNSP,3178.95,3180.29
NOF,3180.29,3182.37
CHNSP,3182.37,3182.97
SIL,3182.97,3183.97
SIL,3183.97,3185.47
CHNSP,3185.47,3186.07
SIL,3186.07,3186.90
NOF,3186.90,3188.75
TVF,3188.75,3189.93
NOF,3189.93,3194.36
OLF,3194.36,3195.16
NOF,3195.16,3195.99
OLN,3195.99,3196.89
NON,3196.89,3197.69
OLN,3197.69,3198.76
NOF,3198.76,3199.90
