segtype,startsec,endsec
SIL,0.00,1.24
NOF,1.24,4.98
SIL,4.98,6.97
NOF,6.97,7.77
TVF,7.77,8.83
SIL,8.83,9.82
TVF,9.82,12.28
SIL,12.28,13.08
NOF,13.08,14.56
OLN,14.56,15.44
NOF,15.44,18.29
SIL,18.29,19.09
NOF,19.09,21.57
OLF,21.57,22.41
NOF,22.41,27.26
SIL,27.26,28.06
SIL,28.06,37.79
FAF,37.79,38.67
TVF,38.67,40.16
NOF,40.16,40.96
SIL,40.96,46.25
SIL,46.25,47.24
SIL,47.24,49.65
SIL,49.65,50.51
SIL,50.51,58.65
SIL,58.65,59.65
TVF,59.65,60.91
SIL,60.91,62.36
NOF,62.36,63.16
SIL,63.16,64.64
NOF,64.64,65.93
SIL,65.93,68.02
SIL,68.02,70.85
SIL,70.85,75.70
TVF,75.70,76.97
SIL,76.97,77.81
SIL,77.81,79.57
SIL,79.57,80.91
TVF,80.91,86.16
SIL,86.16,86.99
TVF,86.99,98.74
SIL,98.74,99.54
SIL,99.54,100.88
SIL,100.88,103.15
FAF,103.15,105.15
NOF,105.15,106.98
SIL,106.98,107.81
TVF,107.81,109.69
SIL,109.69,110.56
TVF,110.56,111.81
SIL,111.81,112.61
TVF,112.61,114.06
SIL,114.06,116.54
NOF,116.54,117.34
SIL,117.34,120.53
NOF,120.53,121.89
SIL,121.89,124.70
NOF,124.70,127.01
SIL,127.01,128.00
NOF,128.00,133.63
SIL,133.63,138.67
NOF,138.67,140.11
SIL,140.11,140.97
NOF,140.97,141.77
SIL,141.77,142.75
SIL,142.75,143.87
SIL,143.87,144.70
NOF,144.70,145.83
CXN,145.83,146.69
FAN,146.69,148.60
OLN,148.60,149.61
NOF,149.61,150.41
SIL,150.41,151.61
CXN,151.61,152.78
SIL,152.78,153.60
TVF,153.60,155.06
CXN,155.06,155.86
SIL,155.86,157.59
SIL,157.59,159.59
SIL,159.59,160.64
CHNSP,160.64,161.24
TVF,161.24,162.27
CXN,162.27,163.07
SIL,163.07,164.66
NOF,164.66,165.46
SIL,165.46,166.28
TVF,166.28,167.28
CXN,167.28,169.08
CXF,169.08,170.11
CXN,170.11,170.94
NOF,170.94,171.84
CHNSP,171.84,172.53
NOF,172.53,173.33
CXN,173.33,174.13
NOF,174.13,174.93
CXF,174.93,175.74
NOF,175.74,176.58
SIL,176.58,178.08
NOF,178.08,179.12
CXF,179.12,180.01
SIL,180.01,180.84
SIL,180.84,182.38
SIL,182.38,183.27
CXN,183.27,184.79
SIL,184.79,186.51
NOF,186.51,188.89
OLN,188.89,189.78
NOF,189.78,190.81
SIL,190.81,201.25
CXN,201.25,202.43
SIL,202.43,204.34
CXF,204.34,205.46
SIL,205.46,218.82
CXF,218.82,219.62
SIL,219.62,220.42
CXN,220.42,221.22
SIL,221.22,222.70
TVF,222.70,223.56
SIL,223.56,230.33
TVF,230.33,232.21
SIL,232.21,233.01
TVF,233.01,236.67
SIL,236.67,237.51
TVF,237.51,240.28
