segtype,startsec,endsec
CXN,0.00,1.08
TVF,1.08,2.61
CXN,2.61,3.41
MAN,3.41,4.21
NOF,4.21,5.01
FAN,5.01,6.56
CXN,6.56,8.32
CHF,8.32,8.95
CXN,8.95,9.80
NOF,9.80,10.62
CXF,10.62,11.42
NOF,11.42,14.34
OLF,14.34,15.48
NOF,15.48,16.81
OLF,16.81,18.35
NOF,18.35,19.43
OLN,19.43,20.86
CXN,20.86,21.66
OLF,21.66,22.46
NOF,22.46,24.38
CHNNSP,24.38,25.94
OLF,25.94,26.74
OLN,26.74,27.55
MAN,27.55,28.55
NOF,28.55,29.53
CHNNSP,29.53,30.13
NOF,30.13,31.21
OLN,31.21,32.19
CXN,32.19,33.18
OLF,33.18,34.65
MAN,34.65,35.91
OLN,35.91,36.83
NON,36.83,37.83
OLN,37.83,38.67
NOF,38.67,41.10
OLF,41.10,41.94
NOF,41.94,42.74
CHNSP,42.74,43.34
NON,43.34,44.29
CHNNSP,44.29,44.90
NOF,44.90,46.73
OLF,46.73,47.55
NON,47.55,48.52
OLN,48.52,49.37
NON,49.37,50.31
OLN,50.31,53.11
NON,53.11,53.97
OLN,53.97,55.29
NON,55.29,56.10
OLN,56.10,57.30
FAN,57.30,59.18
OLF,59.18,60.60
CHNNSP,60.60,61.20
NOF,61.20,62.00
CHNNSP,62.00,62.77
FAN,62.77,65.35
NOF,65.35,66.92
CHNSP,66.92,67.52
NON,67.52,68.40
CXN,68.40,69.00
NOF,69.00,69.85
CHNSP,69.85,70.45
NOF,70.45,72.48
MAN,72.48,73.48
SIL,73.48,74.28
NOF,74.28,75.64
SIL,75.64,77.22
NOF,77.22,81.86
CXN,81.86,82.46
NOF,82.46,85.29
MAF,85.29,86.29
SIL,86.29,87.09
OLN,87.09,88.23
MAF,88.23,89.44
CXN,89.44,90.26
NOF,90.26,91.76
OLN,91.76,92.72
CHNNSP,92.72,93.48
CHF,93.48,94.58
CXN,94.58,95.63
OLF,95.63,96.44
NOF,96.44,97.25
CHNNSP,97.25,97.85
NOF,97.85,99.11
CXN,99.11,99.91
CHNNSP,99.91,101.25
NOF,101.25,102.44
OLN,102.44,103.30
NOF,103.30,104.11
OLN,104.11,105.22
NOF,105.22,107.03
CHNSP,107.03,107.83
NOF,107.83,110.01
CHNNSP,110.01,110.62
NOF,110.62,112.80
CHF,112.80,113.45
NOF,113.45,116.87
CHNSP,116.87,117.47
NOF,117.47,118.98
CHNSP,118.98,119.90
NOF,119.90,121.55
MAF,121.55,122.66
NOF,122.66,124.71
MAN,124.71,125.78
CHNNSP,125.78,126.40
CXN,126.40,127.20
FAN,127.20,128.21
NOF,128.21,129.58
TVF,129.58,130.58
CHF,130.58,131.84
CHNSP,131.84,132.59
NOF,132.59,136.10
SIL,136.10,136.90
CHNNSP,136.90,137.55
SIL,137.55,138.35
CHNSP,138.35,138.99
NOF,138.99,140.07
CHNNSP,140.07,140.75
NOF,140.75,142.05
CXF,142.05,142.85
NOF,142.85,145.43
CHNNSP,145.43,146.05
NOF,146.05,146.98
CHNSP,146.98,147.78
NOF,147.78,150.64
FAF,150.64,151.64
CHNSP,151.64,153.54
TVF,153.54,154.78
CHNSP,154.78,155.42
NON,155.42,156.29
CHNSP,156.29,157.53
CHNNSP,157.53,159.17
FAN,159.17,160.30
NOF,160.30,161.11
CHNSP,161.11,162.20
NOF,162.20,163.88
CHNSP,163.88,164.58
NOF,164.58,165.38
SIL,165.38,166.18
CHNNSP,166.18,167.01
NOF,167.01,168.87
CHNNSP,168.87,169.67
