segtype,startsec,endsec
SIL,0.00,1.21
NOF,1.21,4.04
OLF,4.04,4.85
NOF,4.85,6.66
OLN,6.66,7.51
OLF,7.51,10.07
SIL,10.07,11.28
FAF,11.28,12.28
CXF,12.28,13.23
SIL,13.23,14.15
TVF,14.15,18.27
SIL,18.27,19.39
SIL,19.39,20.39
SIL,20.39,21.19
SIL,21.19,22.19
SIL,22.19,22.99
NOF,22.99,23.79
SIL,23.79,25.92
SIL,25.92,26.72
SIL,26.72,29.39
SIL,29.39,30.19
SIL,30.19,32.98
SIL,32.98,34.88
NOF,34.88,35.99
SIL,35.99,36.79
SIL,36.79,38.16
SIL,38.16,39.07
SIL,39.07,41.25
SIL,41.25,42.23
SIL,42.23,46.35
SIL,46.35,47.35
SIL,47.35,53.96
CXN,53.96,55.03
CHNNSP,55.03,56.05
TVF,56.05,57.05
SIL,57.05,58.81
CHF,58.81,59.41
NOF,59.41,60.35
CXN,60.35,61.32
CHNSP,61.32,61.93
SIL,61.93,62.73
CHNNSP,62.73,63.33
SIL,63.33,64.51
CXF,64.51,65.36
OLN,65.36,66.31
CHNNSP,66.31,66.92
OLN,66.92,68.02
CHNNSP,68.02,72.32
SIL,72.32,73.26
CHNNSP,73.26,81.10
CHNSP,81.10,82.11
CHNNSP,82.11,87.77
NOF,87.77,89.00
CHNNSP,89.00,90.30
MAF,90.30,91.32
CHNSP,91.32,92.19
CXN,92.19,92.99
CHNSP,92.99,93.67
MAN,93.67,95.42
NOF,95.42,96.60
CXN,96.60,98.88
CHNSP,98.88,103.48
NOF,103.48,104.35
CHNNSP,104.35,106.56
NOF,106.56,107.36
CHNNSP,107.36,109.23
CHNSP,109.23,110.23
CHNSP,110.23,112.00
NOF,112.00,113.08
CHNNSP,113.08,134.12
NOF,134.12,136.36
CHNNSP,136.36,149.37
OLN,149.37,150.17
CHNNSP,150.17,165.97
OLN,165.97,167.20
CHNNSP,167.20,167.95
OLN,167.95,168.75
CHNNSP,168.75,179.72
OLN,179.72,181.25
CHNNSP,181.25,184.00
OLN,184.00,185.11
CXN,185.11,188.75
NOF,188.75,189.55
OLN,189.55,191.12
CHNSP,191.12,192.83
NOF,192.83,193.84
OLN,193.84,198.07
NOF,198.07,198.88
OLN,198.88,199.83
CHNNSP,199.83,201.10
OLN,201.10,201.92
OLF,201.92,202.73
OLN,202.73,203.54
CHNNSP,203.54,204.14
OLN,204.14,206.69
CHNNSP,206.69,207.47
OLN,207.47,208.80
CHNNSP,208.80,209.59
OLN,209.59,210.49
CHNNSP,210.49,211.09
FAN,211.09,212.61
CXN,212.61,213.45
OLN,213.45,214.50
CXN,214.50,216.71
FAN,216.71,218.30
MAF,218.30,219.36
CXN,219.36,220.16
CHNNSP,220.16,221.90
CXN,221.90,223.61
OLN,223.61,224.96
CHNNSP,224.96,225.98
CXN,225.98,227.50
CXN,227.50,228.22
CHF,228.22,229.03
CHNNSP,229.03,230.48
OLN,230.48,231.81
CXN,231.81,233.93
CHNSP,233.93,234.55
CXN,234.55,235.35
CHNSP,235.35,236.53
CHNSP,236.53,237.24
OLN,237.24,238.14
FAN,238.14,239.29
OLN,239.29,240.25
MAF,240.25,241.11
OLN,241.11,243.14
NOF,243.14,244.23
OLN,244.23,245.52
FAN,245.52,246.78
CXN,246.78,247.59
TVN,247.59,249.61
NOF,249.61,251.12
OLN,251.12,252.82
FAN,252.82,253.84
CXN,253.84,254.73
NOF,254.73,256.21
FAN,256.21,257.23
CXN,257.23,259.55
NOF,259.55,260.74
FAN,260.74,261.74
NOF,261.74,262.68
CXN,262.68,263.50
NOF,263.50,265.53
OLN,265.53,266.81
CXN,266.81,267.67
FAN,267.67,268.67
OLN,268.67,270.92
CXN,270.92,271.77
OLF,271.77,272.92
MAN,272.92,274.08
FAN,274.08,275.19
OLN,275.19,275.99
FAN,275.99,276.99
OLN,276.99,278.43
CXN,278.43,279.23
FAN,279.23,279.83
NOF,279.83,280.64
CXN,280.64,281.67
NOF,281.67,282.47
OLF,282.47,283.27
SIL,283.27,284.26
OLF,284.26,285.37
FAN,285.37,286.46
SIL,286.46,287.31
FAN,287.31,288.52
CXN,288.52,289.95
SIL,289.95,290.75
FAN,290.75,291.78
CXN,291.78,293.50
OLN,293.50,295.27
NOF,295.27,296.07
OLN,296.07,297.69
NOF,297.69,298.49
OLN,298.49,300.32
CHNNSP,300.32,301.66
OLN,301.66,303.01
CHNNSP,303.01,303.94
OLN,303.94,306.70
CXN,306.70,307.50
OLN,307.50,309.37
CXN,309.37,310.77
OLN,310.77,311.57
NON,311.57,312.45
FAN,312.45,313.45
CXN,313.45,314.26
FAN,314.26,316.38
OLF,316.38,318.19
FAN,318.19,318.85
OLN,318.85,320.77
CXN,320.77,321.57
OLN,321.57,322.94
CXN,322.94,323.85
FAN,323.85,324.94
NOF,324.94,325.81
OLN,325.81,326.89
FAF,326.89,327.89
OLN,327.89,328.72
CHNNSP,328.72,329.50
CHNNSP,329.50,330.31
CHNNSP,330.31,331.31
OLN,331.31,332.11
CHNNSP,332.11,332.72
OLN,332.72,336.13
MAF,336.13,337.88
SIL,337.88,338.93
FAN,338.93,339.93
MAF,339.93,342.32
SIL,342.32,343.16
MAF,343.16,344.16
SIL,344.16,344.96
FAN,344.96,345.96
SIL,345.96,346.84
FAN,346.84,349.35
SIL,349.35,351.16
FAN,351.16,353.99
MAF,353.99,354.87
CXF,354.87,355.67
SIL,355.67,356.97
FAN,356.97,358.55
MAN,358.55,359.72
SIL,359.72,361.48
FAN,361.48,364.55
NOF,364.55,365.59
FAN,365.59,367.20
SIL,367.20,368.03
FAN,368.03,369.03
SIL,369.03,369.89
FAN,369.89,370.96
OLF,370.96,371.77
FAN,371.77,374.56
OLN,374.56,376.67
NOF,376.67,377.47
FAN,377.47,378.47
NOF,378.47,380.15
FAN,380.15,381.49
MAN,381.49,382.65
FAN,382.65,384.03
NOF,384.03,386.25
MAN,386.25,387.25
OLN,387.25,388.12
OLF,388.12,391.24
SIL,391.24,392.05
FAN,392.05,393.71
SIL,393.71,395.00
FAN,395.00,396.00
SIL,396.00,397.66
FAN,397.66,398.66
SIL,398.66,400.44
FAN,400.44,401.65
FAN,401.65,402.25
OLF,402.25,403.48
MAF,403.48,404.52
NOF,404.52,406.03
FAN,406.03,407.03
NOF,407.03,408.59
FAN,408.59,409.59
NOF,409.59,410.61
MAN,410.61,411.64
OLF,411.64,412.48
SIL,412.48,415.10
NOF,415.10,415.90
SIL,415.90,420.01
NOF,420.01,421.16
SIL,421.16,422.46
FAN,422.46,425.32
SIL,425.32,426.80
TVF,426.80,428.15
MAN,428.15,429.26
SIL,429.26,430.75
SIL,430.75,431.65
FAF,431.65,432.65
SIL,432.65,433.74
FAN,433.74,434.79
SIL,434.79,435.79
SIL,435.79,438.66
MAN,438.66,439.66
SIL,439.66,440.86
TVF,440.86,442.63
SIL,442.63,443.79
FAN,443.79,445.89
NOF,445.89,447.13
MAF,447.13,448.13
SIL,448.13,449.89
TVN,449.89,451.72
SIL,451.72,452.52
FAN,452.52,453.52
MAN,453.52,455.08
SIL,455.08,457.63
FAN,457.63,459.42
SIL,459.42,461.79
FAN,461.79,462.85
SIL,462.85,465.08
FAN,465.08,466.08
SIL,466.08,468.65
FAN,468.65,471.20
SIL,471.20,472.00
FAN,472.00,472.60
SIL,472.60,473.89
FAN,473.89,475.26
FAN,475.26,476.00
MAF,476.00,477.17
SIL,477.17,478.20
MAN,478.20,479.35
SIL,479.35,480.23
FAN,480.23,483.31
SIL,483.31,484.64
MAF,484.64,485.75
SIL,485.75,486.55
FAN,486.55,487.83
MAN,487.83,488.96
SIL,488.96,489.96
FAN,489.96,491.45
MAN,491.45,493.34
OLF,493.34,494.40
NOF,494.40,495.78
MAF,495.78,497.17
CXF,497.17,498.02
SIL,498.02,498.82
MAF,498.82,500.06
SIL,500.06,500.87
OLF,500.87,501.84
CXF,501.84,502.77
SIL,502.77,503.89
MAN,503.89,504.97
NOF,504.97,505.77
SIL,505.77,508.57
FAF,508.57,509.17
OLN,509.17,509.98
FAF,509.98,510.98
OLF,510.98,511.78
OLN,511.78,513.13
FAN,513.13,514.56
OLF,514.56,516.97
MAF,516.97,518.16
FAN,518.16,521.65
CXN,521.65,522.45
FAN,522.45,524.61
SIL,524.61,525.48
FAF,525.48,526.32
SIL,526.32,527.49
NOF,527.49,528.44
SIL,528.44,529.54
FAN,529.54,531.81
SIL,531.81,534.09
FAN,534.09,536.02
SIL,536.02,538.71
FAN,538.71,541.40
FAN,541.40,542.05
FAN,542.05,544.13
MAF,544.13,544.73
FAN,544.73,546.75
MAN,546.75,547.75
FAN,547.75,550.56
MAN,550.56,551.93
SIL,551.93,553.29
FAN,553.29,553.89
FAN,553.89,554.89
MAN,554.89,555.89
SIL,555.89,556.69
TVF,556.69,558.08
SIL,558.08,559.01
TVF,559.01,560.26
SIL,560.26,561.31
TVF,561.31,563.29
SIL,563.29,564.10
FAF,564.10,564.70
SIL,564.70,568.20
NOF,568.20,569.28
FAN,569.28,570.29
NOF,570.29,572.16
OLN,572.16,573.43
SIL,573.43,574.24
OLN,574.24,576.23
SIL,576.23,577.63
OLF,577.63,578.82
SIL,578.82,580.89
MAN,580.89,582.53
SIL,582.53,583.33
FAN,583.33,584.95
MAN,584.95,587.03
SIL,587.03,587.83
FAN,587.83,588.87
FAN,588.87,589.47
SIL,589.47,591.05
MAN,591.05,592.63
SIL,592.63,594.43
FAN,594.43,595.43
SIL,595.43,596.55
MAN,596.55,598.05
FAN,598.05,599.29
SIL,599.29,600.18
FAN,600.18,601.49
TVF,601.49,602.55
FAN,602.55,603.85
TVF,603.85,605.50
FAN,605.50,606.55
MAF,606.55,607.84
SIL,607.84,608.88
MAN,608.88,609.92
NOF,609.92,610.80
MAF,610.80,611.87
SIL,611.87,614.18
FAN,614.18,615.98
FAF,615.98,616.60
FAN,616.60,617.83
SIL,617.83,619.02
FAN,619.02,620.02
SIL,620.02,620.82
FAN,620.82,621.83
SIL,621.83,622.65
FAN,622.65,624.08
TVF,624.08,626.63
FAN,626.63,627.64
MAN,627.64,629.64
FAN,629.64,630.75
SIL,630.75,631.96
FAF,631.96,632.96
SIL,632.96,635.73
FAN,635.73,638.14
SIL,638.14,639.66
MAF,639.66,640.70
SIL,640.70,641.84
MAF,641.84,642.91
SIL,642.91,644.39
FAN,644.39,645.72
MAN,645.72,646.88
SIL,646.88,647.91
FAN,647.91,649.09
MAN,649.09,651.18
SIL,651.18,652.00
NOF,652.00,653.57
FAN,653.57,656.56
SIL,656.56,657.63
MAN,657.63,659.11
SIL,659.11,659.91
MAN,659.91,661.25
SIL,661.25,662.32
FAF,662.32,663.32
FAN,663.32,663.95
FAN,663.95,664.95
SIL,664.95,666.27
NOF,666.27,667.07
SIL,667.07,668.18
MAN,668.18,669.32
NON,669.32,670.31
OLN,670.31,671.77
NOF,671.77,674.36
FAF,674.36,675.16
NOF,675.16,675.96
SIL,675.96,676.78
NOF,676.78,677.94
FAF,677.94,678.94
NOF,678.94,680.74
TVF,680.74,681.78
SIL,681.78,683.93
FAF,683.93,684.99
MAF,684.99,686.80
NOF,686.80,688.26
OLN,688.26,689.85
NOF,689.85,690.66
MAN,690.66,691.67
OLN,691.67,694.07
NOF,694.07,695.20
OLF,695.20,696.20
SIL,696.20,697.39
NOF,697.39,699.02
SIL,699.02,702.71
NOF,702.71,704.01
SIL,704.01,704.81
NOF,704.81,705.63
SIL,705.63,706.48
MAF,706.48,707.28
SIL,707.28,709.02
TVF,709.02,710.02
FAF,710.02,711.67
CHF,711.67,712.27
FAF,712.27,713.96
MAF,713.96,714.98
SIL,714.98,779.34
OLF,779.34,780.15
SIL,780.15,780.95
SIL,780.95,783.34
SIL,783.34,789.30
