startSeconds,endSeconds,isTargetChildOnly
160.64,161.24,True
171.84,172.53,True
260.88,261.52,True
290.84,291.44,True
407.43,408.23,True
422.92,423.53,True
443.13,444.41,True
451.59,452.19,True
466.2,466.9,True
552.95,553.55,True
622.87,623.47,True
624.27,624.87,True
626.42,627.02,True
638.32,638.92,True
652.51,653.11,True
657.76,658.36,True
659.19,659.86,True
673.77,674.37,True
675.17,675.82,True
683.72,684.32,True
692.1,692.71,True
695.53,696.17,True
698.1,698.74,True
700.83,701.43,True
723.71,724.31,True
748.46,750.39,True
751.44,752.04,True
759.04,759.64,True
761.37,762.69,True
763.72,764.38,True
765.69,766.74,True
774.47,775.07,True
776.24,776.99,True
810.18,810.83,True
814.29,815.42,True
816.23,816.93,True
828.71,829.4,True
839.61,840.21,True
902.04,902.64,True
905.67,906.67,True
907.79,908.71,True
910.19,910.98,True
973.33,973.93,True
974.73,975.33,True
976.13,976.73,True
978.96,979.93,True
986.63,987.51,True
988.33,989.89,True
993.54,994.14,True
994.94,996.23,True
997.23,997.83,True
998.89,999.55,True
1007.82,1008.42,True
1019.46,1020.21,True
1061.64,1062.24,False
1063.04,1063.64,True
1075.74,1077.52,False
1079.45,1080.25,True
1093.0,1093.6,True
1094.6,1095.54,False
1138.54,1139.42,False
1146.14,1146.74,True
1150.49,1151.09,True
1163.14,1163.78,True
1164.96,1166.34,True
1167.16,1169.19,True
1177.95,1178.72,False
1180.79,1181.39,True
1191.14,1191.8,True
1199.49,1200.09,False
1208.4,1209.15,True
1214.07,1214.67,True
1227.16,1227.76,True
1231.15,1231.81,False
1233.53,1234.13,True
1237.16,1238.53,True
1240.16,1240.92,True
1245.63,1246.23,True
1248.23,1248.87,True
1264.53,1266.48,False
1274.68,1275.32,True
1276.24,1276.84,False
1277.64,1278.31,True
1280.52,1281.13,True
1284.93,1285.53,True
1289.05,1290.24,True
1296.58,1297.69,True
1341.4,1343.13,True
1372.3,1372.91,True
1386.06,1386.66,True
1389.55,1390.41,True
1391.26,1391.86,True
1392.69,1393.49,True
1395.33,1397.04,True
1399.37,1399.97,True
1450.54,1451.93,False
1451.93,1452.93,False
1464.87,1466.12,True
1467.36,1468.2,True
1472.74,1473.47,True
1474.27,1475.85,False
1537.84,1538.44,False
1546.3,1546.9,False
1578.5,1579.1,False
1579.1,1580.15,False
1597.59,1598.19,False
1607.92,1608.55,False
1640.22,1640.82,False
1647.29,1647.89,False
1655.45,1656.22,False
1662.39,1662.99,False
1673.99,1674.68,False
1676.25,1677.07,True
1678.51,1681.17,True
