segtype,startsec,endsec
TVN,0.00,1.33
SIL,1.33,2.13
TVN,2.13,3.13
MAN,3.13,4.13
NOF,4.13,6.29
FAN,6.29,7.29
NOF,7.29,8.38
OLN,8.38,10.02
NOF,10.02,10.82
OLF,10.82,11.63
NOF,11.63,13.29
OLF,13.29,14.42
NOF,14.42,15.87
OLF,15.87,17.00
NOF,17.00,21.60
MAF,21.60,22.61
NOF,22.61,23.52
MAF,23.52,24.61
OLF,24.61,25.44
NOF,25.44,28.22
OLN,28.22,29.49
CHNSP,29.49,30.51
MAN,30.51,31.52
OLF,31.52,32.32
NOF,32.32,33.33
OLF,33.33,34.13
NOF,34.13,36.18
CHNSP,36.18,37.06
NOF,37.06,38.36
CHNSP,38.36,38.99
OLF,38.99,39.79
CHNSP,39.79,40.39
NOF,40.39,43.28
OLN,43.28,44.49
NOF,44.49,45.37
OLF,45.37,48.00
NOF,48.00,51.23
CHNSP,51.23,51.95
NOF,51.95,52.86
SIL,52.86,54.04
CHNNSP,54.04,55.74
CHF,55.74,56.54
CHNNSP,56.54,57.46
SIL,57.46,58.95
OLF,58.95,59.75
CHNSP,59.75,60.35
OLF,60.35,61.15
NOF,61.15,63.66
OLF,63.66,64.46
MAN,64.46,65.46
OLF,65.46,66.26
NOF,66.26,67.06
SIL,67.06,67.86
NOF,67.86,68.88
TVF,68.88,69.91
NOF,69.91,70.71
MAN,70.71,72.12
NOF,72.12,73.65
CXN,73.65,74.55
CHNSP,74.55,76.18
MAN,76.18,77.23
SIL,77.23,78.44
FAN,78.44,79.06
FAN,79.06,80.23
NOF,80.23,81.35
SIL,81.35,82.47
FAN,82.47,83.63
SIL,83.63,84.46
TVF,84.46,88.55
SIL,88.55,89.35
NOF,89.35,90.19
CHNNSP,90.19,91.05
NOF,91.05,92.39
CHNSP,92.39,93.04
TVF,93.04,94.16
SIL,94.16,95.06
NOF,95.06,95.92
CHNSP,95.92,97.43
NON,97.43,98.23
OLN,98.23,99.04
NOF,99.04,99.86
SIL,99.86,100.73
CHNSP,100.73,101.53
MAN,101.53,102.53
SIL,102.53,104.52
CHNSP,104.52,105.12
NON,105.12,106.81
SIL,106.81,107.69
SIL,107.69,109.99
SIL,109.99,112.05
TVF,112.05,112.88
SIL,112.88,113.69
NON,113.69,114.62
SIL,114.62,115.63
MAF,115.63,117.33
SIL,117.33,119.24
CXN,119.24,119.84
TVN,119.84,120.64
SIL,120.64,121.44
TVF,121.44,122.27
SIL,122.27,123.65
FAN,123.65,125.24
NOF,125.24,126.90
CHNNSP,126.90,127.83
TVN,127.83,129.17
SIL,129.17,129.97
SIL,129.97,131.68
SIL,131.68,133.29
NOF,133.29,134.16
TVN,134.16,135.16
TVF,135.16,135.96
CHF,135.96,136.56
SIL,136.56,138.15
SIL,138.15,139.00
MAN,139.00,140.58
TVN,140.58,142.13
MAN,142.13,144.27
SIL,144.27,146.24
MAN,146.24,147.95
TVF,147.95,148.85
TVN,148.85,150.43
SIL,150.43,151.92
MAN,151.92,152.92
SIL,152.92,153.94
SIL,153.94,155.17
TVF,155.17,156.17
SIL,156.17,157.10
SIL,157.10,158.12
SIL,158.12,161.76
SIL,161.76,163.67
SIL,163.67,164.73
MAN,164.73,172.45
SIL,172.45,173.74
MAN,173.74,176.15
SIL,176.15,177.46
SIL,177.46,179.03
MAN,179.03,181.54
TVN,181.54,185.80
TVF,185.80,187.94
MAN,187.94,188.99
FAF,188.99,189.99
MAN,189.99,191.60
TVN,191.60,192.64
TVN,192.64,195.37
TVN,195.37,196.50
NOF,196.50,197.72
TVF,197.72,198.68
MAN,198.68,202.73
OLF,202.73,205.16
NOF,205.16,205.97
OLF,205.97,207.17
SIL,207.17,207.97
TVF,207.97,208.77
TVF,208.77,210.05
TVF,210.05,211.11
OLF,211.11,211.98
NOF,211.98,212.84
MAN,212.84,214.71
OLF,214.71,216.44
MAN,216.44,217.74
OLF,217.74,219.17
MAN,219.17,220.99
OLF,220.99,221.79
CXN,221.79,222.59
OLF,222.59,226.29
TVN,226.29,227.43
TVF,227.43,229.28
OLN,229.28,230.47
NOF,230.47,231.27
OLN,231.27,232.38
NON,232.38,233.19
OLN,233.19,234.55
NOF,234.55,235.81
OLF,235.81,237.24
TVF,237.24,238.21
OLN,238.21,239.64
OLF,239.64,240.94
TVN,240.94,241.95
NOF,241.95,244.47
OLF,244.47,245.48
NON,245.48,247.03
TVN,247.03,248.03
MAF,248.03,248.86
MAN,248.86,258.03
OLN,258.03,258.83
MAN,258.83,260.59
TVN,260.59,261.60
TVF,261.60,262.71
TVF,262.71,263.74
SIL,263.74,264.69
MAN,264.69,268.59
TVN,268.59,270.26
SIL,270.26,271.15
TVN,271.15,272.97
TVN,272.97,274.04
TVF,274.04,275.16
TVN,275.16,276.16
TVN,276.16,278.34
TVN,278.34,279.35
TVN,279.35,280.82
TVN,280.82,285.28
SIL,285.28,286.08
TVN,286.08,293.14
TVN,293.14,294.17
TVN,294.17,295.35
SIL,295.35,296.17
MAN,296.17,299.21
TVN,299.21,300.35
TVF,300.35,301.40
SIL,301.40,302.61
TVN,302.61,303.61
TVF,303.61,305.36
MAN,305.36,306.61
SIL,306.61,307.41
MAN,307.41,308.88
SIL,308.88,309.75
MAN,309.75,312.22
OLF,312.22,313.48
TVN,313.48,315.76
MAN,315.76,316.76
CXN,316.76,317.77
NON,317.77,318.60
TVN,318.60,320.71
TVN,320.71,321.83
OLF,321.83,322.78
MAN,322.78,325.08
TVN,325.08,326.41
TVF,326.41,327.40
TVN,327.40,328.53
OLF,328.53,329.33
MAN,329.33,330.33
TVN,330.33,331.92
MAN,331.92,332.92
SIL,332.92,333.88
TVN,333.88,335.01
TVN,335.01,335.81
SIL,335.81,336.96
TVN,336.96,339.49
MAN,339.49,341.42
TVF,341.42,342.22
TVN,342.22,343.25
TVF,343.25,344.05
TVF,344.05,346.01
OLF,346.01,347.01
NOF,347.01,347.86
OLF,347.86,353.06
SIL,353.06,354.53
TVF,354.53,355.41
SIL,355.41,356.44
TVN,356.44,357.89
TVN,357.89,358.97
TVN,358.97,361.48
SIL,361.48,363.83
TVN,363.83,364.43
NOF,364.43,365.23
SIL,365.23,366.03
TVF,366.03,367.29
TVN,367.29,368.29
MAN,368.29,369.29
OLF,369.29,371.25
MAN,371.25,372.28
TVF,372.28,373.78
MAN,373.78,374.85
OLF,374.85,375.65
NOF,375.65,376.52
TVN,376.52,378.24
TVN,378.24,379.50
SIL,379.50,380.31
TVF,380.31,381.11
SIL,381.11,382.31
TVN,382.31,385.68
TVN,385.68,387.04
TVN,387.04,388.16
TVN,388.16,388.98
TVN,388.98,390.24
SIL,390.24,391.04
TVN,391.04,394.27
SIL,394.27,395.07
TVN,395.07,396.07
SIL,396.07,397.01
TVN,397.01,398.60
SIL,398.60,399.53
TVN,399.53,400.34
MAF,400.34,401.38
TVN,401.38,402.73
SIL,402.73,403.67
TVN,403.67,407.44
TVN,407.44,408.45
TVN,408.45,409.62
SIL,409.62,410.46
TVN,410.46,412.14
TVN,412.14,413.29
SIL,413.29,414.09
TVN,414.09,416.09
TVN,416.09,418.13
TVN,418.13,420.21
TVN,420.21,421.01
TVN,421.01,422.39
TVN,422.39,423.55
TVN,423.55,433.50
SIL,433.50,434.79
TVN,434.79,437.95
TVN,437.95,439.01
SIL,439.01,440.80
MAF,440.80,441.96
OLF,441.96,444.49
TVN,444.49,445.49
SIL,445.49,446.29
TVN,446.29,448.10
TVN,448.10,449.10
SIL,449.10,449.90
SIL,449.90,450.97
SIL,450.97,452.33
TVF,452.33,453.46
TVF,453.46,455.34
TVN,455.34,456.61
TVN,456.61,460.05
FAF,460.05,461.11
TVF,461.11,462.62
